filename,transcript,label
1_10004_u.wav,"And of those few months, how long have you been a demented sex pervert?",0.0
1_10009_u.wav,"Let the dead man talk. So, why do you think that?",0.0
1_1001_u.wav,"What else? Sell it on eBay as ""slightly used.""",0.0
1_1003_u.wav,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",1.0
1_10190_u.wav,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?",0.0
1_10462_u.wav,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.",1.0
1_10495_u.wav,"And if it turns out you don't... - you and I could live together. - You and... Oh, sure.",1.0
1_10496_u.wav,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",1.0
1_105_u.wav,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,1.0
1_10748_u.wav,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",1.0
1_10797_u.wav,"I'm with him three years, nothing. She's with two minutes, and he's taking his pants off.",0.0
1_10810_u.wav,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,0.0
1_10829_u.wav,"On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.",1.0
1_10849_u.wav,That's how much buying a comic book store means to me.,0.0
1_10853_u.wav,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",0.0
1_10857_u.wav,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,0.0
1_10859_u.wav,I don't need a reason-- it's my house.,0.0
1_10890_u.wav,"Boy, when you met Bernadette, the field of robotics really took a hit.",1.0
1_10977_u.wav,Let's not talk about this in front of our friends.,0.0
1_11006_u.wav,Maybe it's a good thing we came here. It's like a lesson in what not to do.,1.0
1_11021_u.wav,"Same as all of us, getting out of a car without underwear.",1.0
1_11042_u.wav,"Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.",0.0
1_11046_u.wav,"Wow, he really went where no man has gone before.",0.0
1_11051_u.wav,"Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.",0.0
1_11055_u.wav,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",1.0
1_11098_u.wav,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",1.0
1_11120_u.wav,"Next time I might be in a rush, it's good to have a few in the bank.",0.0
1_11177_u.wav,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,1.0
1_11201_u.wav,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",0.0
1_11224_u.wav,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,1.0
1_11232_u.wav,"And I love that I work and do all the cleaning, and you're okay with that.",1.0
1_11236_u.wav,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",0.0
1_11242_u.wav,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",1.0
1_11243_u.wav,I love that you're too good to pee in the kitchen sink.,1.0
1_11253_u.wav,"So as they say, all good things must come to an end.",0.0
1_11257_u.wav,Doesn't Professor Abbott's family want any of this stuff?,0.0
1_11306_u.wav,"I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0.0
1_11322_u.wav,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",1.0
1_11378_u.wav,Are you sure a dummy like me can handle something as complicated as a blanket?,1.0
1_11439_u.wav,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",1.0
1_1144_u.wav,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1.0
1_11485_u.wav,Is that why you had to take him to Office Depot last night?,0.0
1_11526_u.wav,"As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?",0.0
1_11529_u.wav,"And how difficult it is to do when she's bloated, cranky and crampy?",0.0
1_11609_u.wav,"I've, uh, created some other user accounts so I can post positive comments about their paper.",0.0
1_11697_u.wav,The answer's in this puzzle box. Let's see if you can open it.,1.0
1_11699_u.wav,"No, Stuart picked out those throw pillows all on his own.",1.0
1_11723_u.wav,"Not much, but he seemed to be in a pretty good place.",0.0
1_11736_u.wav,"I don't know, perhaps somebody took it off the carousel by mistake?",0.0
1_11773_u.wav,This is why I've been saying we should keep champagne on ice.,1.0
1_1180_u.wav,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",1.0
1_1185_u.wav,I think tonight was a very good start.,0.0
1_11885_u.wav,"Yeah, turns out half a dozen menorahs really sets a mood.",1.0
1_11889_u.wav,"Yeah, we just want to have the kind of dinner that we've all had here so many times before.",0.0
1_1189_u.wav,"I'm sorry, I am not going back to the Renaissance fair.",0.0
1_11901_u.wav,"Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned.",1.0
1_11913_u.wav,It's why my people wandered the desert for 40 years. Took that long to walk it off.,1.0
